gender,Near_Location,Partner,Promo_friends,Phone,Contract_period,Group_visits,Age,Avg_additional_charges_total,Month_to_end_contract
1,1,1,1,0,6,1,29,14.227470422861144,5.0
0,1,0,0,1,12,1,31,113.20293765105819,12.0
0,1,1,0,1,1,0,28,129.44847933200614,1.0
0,1,1,1,1,12,1,33,62.66986319123829,12.0
1,1,1,1,1,1,0,26,198.36226543903683,1.0
1,1,0,0,1,1,1,34,450.7439599104914,1.0
1,1,1,1,0,6,1,32,94.2663885148517,6.0
0,1,0,0,1,1,0,30,217.78664105008903,1.0
1,1,1,1,1,1,1,23,45.409909202997675,1.0
0,1,0,0,1,1,0,31,65.31083634086433,1.0
0,1,0,0,0,6,1,32,229.70894524511127,6.0
1,1,1,0,1,1,0,27,266.7838237446521,1.0
0,1,1,1,1,1,1,33,148.41805281528684,1.0
1,1,0,0,1,1,1,27,152.74866849929762,1.0
0,1,0,0,1,6,0,35,209.8881331905138,3.0
0,1,1,1,1,12,0,29,101.37260415417305,10.0
0,1,1,1,1,1,1,31,11.975295259522355,1.0
0,1,0,1,1,6,1,29,92.78741424476028,5.0
0,1,0,0,1,1,1,30,97.80431525583174,1.0
1,1,1,1,1,12,1,29,73.91754594762952,11.0
1,1,0,0,1,6,1,29,338.5968593027536,6.0
0,0,0,0,1,1,0,30,153.19859377822274,1.0
1,1,0,0,1,12,1,29,100.15813043665086,12.0
1,1,0,0,1,1,1,32,276.0798821905471,1.0
0,1,0,1,0,6,0,27,179.55545728024344,6.0
0,0,0,0,1,1,0,29,57.73000650327499,1.0
0,1,1,0,1,6,0,29,167.87521108842424,6.0
1,1,0,1,1,6,0,27,31.805389694141468,6.0
0,1,0,0,1,1,0,28,242.36650054262455,1.0
0,1,1,1,1,6,1,27,159.1489236862274,5.0
0,1,1,0,1,1,1,32,44.67250817468889,1.0
0,1,0,0,1,12,1,32,87.85613947441288,12.0
0,1,0,0,1,12,0,32,131.114586424149,12.0
0,1,1,1,1,12,0,29,208.9807514639272,12.0
0,1,0,0,1,6,0,26,243.51068017558129,5.0
0,1,0,0,1,12,1,33,188.59086256820493,12.0
0,1,0,0,0,1,0,34,65.74274262265584,1.0
1,1,0,0,1,1,1,32,14.254721257839961,1.0
1,1,1,1,1,12,1,25,179.03883962297508,12.0
1,1,0,1,0,6,1,35,233.2395478031676,6.0
0,1,1,1,1,12,0,33,5.135184497156928,12.0
0,1,1,1,0,1,0,25,161.60734904259368,1.0
0,1,0,0,1,12,0,36,108.90944277802252,12.0
0,1,1,1,0,1,1,30,261.7131880951677,1.0
1,1,1,0,1,12,0,29,332.48904105476436,9.0
1,1,1,0,1,6,0,29,139.34952378010922,6.0
1,1,0,0,1,1,0,26,54.18423621080765,1.0
1,1,1,1,1,6,0,33,115.09911772527741,6.0
1,1,0,1,1,1,1,25,152.95423818790002,1.0
0,1,0,0,1,6,0,27,272.99718088898123,6.0
1,1,0,0,1,1,0,33,204.2615056608934,1.0
1,0,1,0,1,1,0,29,373.066503119564,1.0
1,1,0,1,1,1,1,30,252.9156830285072,1.0
0,1,0,0,1,6,1,24,1.754737156770652,4.0
0,1,0,0,1,12,1,23,34.972072319098174,11.0
0,1,1,1,0,1,0,30,194.6691783286323,1.0
1,1,0,0,1,6,1,30,134.4978468662896,6.0
0,1,0,0,1,6,1,27,236.9158278764984,6.0
1,1,1,1,1,6,0,28,115.77487796084124,6.0
1,1,1,1,1,1,0,34,166.86275423620899,1.0
0,1,1,0,1,1,1,28,262.30956844586706,1.0
0,1,1,0,1,6,0,32,55.77441782254436,5.0
0,1,1,1,0,6,0,34,72.64111198794714,6.0
1,1,0,0,1,1,0,28,42.160809042705715,1.0
